gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
5076245015	81981d98-e27f-4155-9a94-9eae9bbad2be	CSCF-VES-799854	Animalia	Arthropoda	Insecta	Hymenoptera	Vespidae	Vespa	Vespa velutina		SPECIES	Vespa velutina Lepeletier, 1836	Vespa velutina Lepeletier, 1836	Lepeletier, 1836	CH		Vd	PRESENT		64ee55c9-570a-42af-b7da-3f13c6b4e5a9	46.43249	6.88569	3535.0		491.0				2023-09-16	16	9	2023	1311477	1311477	HUMAN_OBSERVATION			CSCF-VES-799854		Cherix Daniel		CC_BY_4_0	https://www.infofauna.ch	Anonymous			2025-12-24T08:32:02.830Z		TAXON_ID_NOT_FOUND
5076245013	81981d98-e27f-4155-9a94-9eae9bbad2be	CSCF-VES-798525	Animalia	Arthropoda	Insecta	Hymenoptera	Vespidae	Vespa	Vespa velutina		SPECIES	Vespa velutina Lepeletier, 1836	Vespa velutina Lepeletier, 1836	Lepeletier, 1836	CH		Vd	PRESENT		64ee55c9-570a-42af-b7da-3f13c6b4e5a9	46.38177	6.17125	3535.0		462.0				2023-07-25	25	7	2023	1311477	1311477	HUMAN_OBSERVATION			CSCF-VES-798525		Cherix Daniel		CC_BY_4_0	https://www.infofauna.ch	Anonymous			2025-12-24T08:32:03.759Z		TAXON_ID_NOT_FOUND
5076245010	81981d98-e27f-4155-9a94-9eae9bbad2be	CSCF-VES-798524	Animalia	Arthropoda	Insecta	Hymenoptera	Vespidae	Vespa	Vespa velutina		SPECIES	Vespa velutina Lepeletier, 1836	Vespa velutina Lepeletier, 1836	Lepeletier, 1836	CH		Vd	PRESENT		64ee55c9-570a-42af-b7da-3f13c6b4e5a9	46.79023	6.55458	3535.0		591.0				2023-06-30	30	6	2023	1311477	1311477	HUMAN_OBSERVATION			CSCF-VES-798524		Cherix Daniel		CC_BY_4_0	https://www.infofauna.ch	Anonymous			2025-12-24T08:32:03.758Z		TAXON_ID_NOT_FOUND
5076245009	81981d98-e27f-4155-9a94-9eae9bbad2be	CSCF-VES-799855	Animalia	Arthropoda	Insecta	Hymenoptera	Vespidae	Vespa	Vespa velutina		SPECIES	Vespa velutina Lepeletier, 1836	Vespa velutina Lepeletier, 1836	Lepeletier, 1836	CH		Ag	PRESENT		64ee55c9-570a-42af-b7da-3f13c6b4e5a9	47.51187	8.00281	3535.0		373.0				2023-09-16	16	9	2023	1311477	1311477	HUMAN_OBSERVATION			CSCF-VES-799855		Cherix Daniel		CC_BY_4_0	https://www.infofauna.ch	Anonymous			2025-12-24T08:32:02.830Z		TAXON_ID_NOT_FOUND
5076245006	81981d98-e27f-4155-9a94-9eae9bbad2be	CSCF-VES-799858	Animalia	Arthropoda	Insecta	Hymenoptera	Vespidae	Vespa	Vespa velutina		SPECIES	Vespa velutina Lepeletier, 1836	Vespa velutina Lepeletier, 1836	Lepeletier, 1836	CH		Vd	PRESENT		64ee55c9-570a-42af-b7da-3f13c6b4e5a9	46.33679	6.1723	3535.0		445.0				2023-09-17	17	9	2023	1311477	1311477	HUMAN_OBSERVATION			CSCF-VES-799858		Cherix Daniel		CC_BY_4_0	https://www.infofauna.ch	Anonymous			2025-12-24T08:32:02.830Z		TAXON_ID_NOT_FOUND
5076245005	81981d98-e27f-4155-9a94-9eae9bbad2be	CSCF-VES-798526	Animalia	Arthropoda	Insecta	Hymenoptera	Vespidae	Vespa	Vespa velutina		SPECIES	Vespa velutina Lepeletier, 1836	Vespa velutina Lepeletier, 1836	Lepeletier, 1836	CH		Ge	PRESENT		64ee55c9-570a-42af-b7da-3f13c6b4e5a9	46.29182	6.17335	3535.0		388.0				2023-07-25	25	7	2023	1311477	1311477	HUMAN_OBSERVATION			CSCF-VES-798526		Cherix Daniel		CC_BY_4_0	https://www.infofauna.ch	Anonymous			2025-12-24T08:32:03.758Z		TAXON_ID_NOT_FOUND
5076245004	81981d98-e27f-4155-9a94-9eae9bbad2be	CSCF-VES-799857	Animalia	Arthropoda	Insecta	Hymenoptera	Vespidae	Vespa	Vespa velutina		SPECIES	Vespa velutina Lepeletier, 1836	Vespa velutina Lepeletier, 1836	Lepeletier, 1836	CH		Vd	PRESENT		64ee55c9-570a-42af-b7da-3f13c6b4e5a9	46.38177	6.17125	3535.0		561.0				2023-09-17	17	9	2023	1311477	1311477	HUMAN_OBSERVATION			CSCF-VES-799857		Cherix Daniel		CC_BY_4_0	https://www.infofauna.ch	Anonymous			2025-12-24T08:32:02.830Z		TAXON_ID_NOT_FOUND
5076245000	81981d98-e27f-4155-9a94-9eae9bbad2be	CSCF-VES-798530	Animalia	Arthropoda	Insecta	Hymenoptera	Vespidae	Vespa	Vespa velutina		SPECIES	Vespa velutina Lepeletier, 1836	Vespa velutina Lepeletier, 1836	Lepeletier, 1836	CH		Vd	PRESENT		64ee55c9-570a-42af-b7da-3f13c6b4e5a9	46.51986	6.49384	3535.0		415.0				2023-07-26	26	7	2023	1311477	1311477	HUMAN_OBSERVATION			CSCF-VES-798530		Cherix Daniel		CC_BY_4_0	https://www.infofauna.ch	Anonymous			2025-12-24T08:32:03.757Z		TAXON_ID_NOT_FOUND
5076244999	81981d98-e27f-4155-9a94-9eae9bbad2be	CSCF-VES-799861	Animalia	Arthropoda	Insecta	Hymenoptera	Vespidae	Vespa	Vespa velutina		SPECIES	Vespa velutina Lepeletier, 1836	Vespa velutina Lepeletier, 1836	Lepeletier, 1836	CH		Bl	PRESENT		64ee55c9-570a-42af-b7da-3f13c6b4e5a9	47.5132	7.53819	3535.0		331.0				2023-09-17	17	9	2023	1311477	1311477	HUMAN_OBSERVATION			CSCF-VES-799861		Cherix Daniel		CC_BY_4_0	https://www.infofauna.ch	Anonymous			2025-12-24T08:32:02.829Z		TAXON_ID_NOT_FOUND
5076244997	81981d98-e27f-4155-9a94-9eae9bbad2be	CSCF-VES-799860	Animalia	Arthropoda	Insecta	Hymenoptera	Vespidae	Vespa	Vespa velutina		SPECIES	Vespa velutina Lepeletier, 1836	Vespa velutina Lepeletier, 1836	Lepeletier, 1836	CH		Vd	PRESENT		64ee55c9-570a-42af-b7da-3f13c6b4e5a9	46.33679	6.1723	3535.0		414.0				2023-09-17	17	9	2023	1311477	1311477	HUMAN_OBSERVATION			CSCF-VES-799860		Cherix Daniel		CC_BY_4_0	https://www.infofauna.ch	Anonymous			2025-12-24T08:32:02.829Z		TAXON_ID_NOT_FOUND
5076244994	81981d98-e27f-4155-9a94-9eae9bbad2be	CSCF-VES-799849	Animalia	Arthropoda	Insecta	Hymenoptera	Vespidae	Vespa	Vespa velutina		SPECIES	Vespa velutina Lepeletier, 1836	Vespa velutina Lepeletier, 1836	Lepeletier, 1836	CH		Ju	PRESENT		64ee55c9-570a-42af-b7da-3f13c6b4e5a9	47.42273	7.07418	3535.0		459.0				2023-09-15	15	9	2023	1311477	1311477	HUMAN_OBSERVATION			CSCF-VES-799849		Cherix Daniel		CC_BY_4_0	https://www.infofauna.ch	Anonymous			2025-12-24T08:32:02.829Z		TAXON_ID_NOT_FOUND
